order_id,shipping_date,delivery_date,courier_name,shipping_status
273,2023-12-21,2023-12-26,DTDC,Delivered
274,2024-12-25,,Delhivery,In Transit
275,,,DTDC,Pending
276,2024-02-23,,Ekart,In Transit
277,,,XpressBees,Pending
278,2024-03-09,2024-03-13,Ekart,Delivered
279,2023-01-18,2023-01-24,Ecom Express,Delivered
280,2023-07-13,2023-07-18,Delhivery,Delivered
281,2024-08-08,2024-08-15,Ekart,Delivered
282,2023-11-16,2023-11-22,Ekart,Delivered
283,2024-02-22,2024-02-28,Ecom Express,Delivered
284,2023-11-08,2023-11-12,Delhivery,Delivered
285,2025-02-28,2025-03-02,Blue Dart,Delivered
286,2023-12-13,,Ekart,In Transit
287,,,DTDC,Pending
288,2025-01-01,2025-01-08,Ecom Express,Delivered
289,2024-03-24,2024-03-28,Ecom Express,Delivered
290,2024-09-03,2024-09-09,XpressBees,Delivered
291,2023-12-06,,Ekart,In Transit
292,2023-07-15,,Delhivery,In Transit
293,2023-09-22,2023-09-24,XpressBees,Delivered
294,,,Ekart,Pending
295,2024-09-24,2024-09-28,Blue Dart,Delivered
296,2024-12-02,2024-12-09,Ekart,Delivered
297,2025-04-22,2025-04-28,Ecom Express,Delivered
298,2024-10-29,2024-11-02,DTDC,Delivered
299,2023-06-10,2023-06-15,Blue Dart,Delivered
300,2025-04-26,2025-05-02,Blue Dart,Delivered
301,2024-11-17,2024-11-20,XpressBees,Delivered
302,2023-05-09,2023-05-11,Blue Dart,Delivered
303,2024-09-18,,Ecom Express,In Transit
304,2024-01-06,2024-01-12,Ecom Express,Delivered
305,2024-01-10,2024-01-13,Ekart,Delivered
306,2023-07-15,2023-07-17,XpressBees,Delivered
307,2025-04-04,2025-04-07,DTDC,Delivered
308,2024-07-01,,Ecom Express,In Transit
309,2023-04-10,2023-04-15,XpressBees,Delivered
310,2024-08-10,2024-08-15,DTDC,Delivered
311,2024-10-27,2024-10-31,Ecom Express,Delivered
312,2024-02-12,2024-02-15,Ekart,Delivered
313,2023-04-14,2023-04-18,Blue Dart,Delivered
314,,,XpressBees,Pending
315,,,Ekart,Pending
316,2024-03-28,2024-04-04,Delhivery,Delivered
317,2023-01-25,2023-01-28,Delhivery,Delivered
318,2023-01-14,2023-01-16,XpressBees,Delivered
319,2025-05-09,2025-05-12,Blue Dart,Delivered
320,2025-02-11,,DTDC,In Transit
321,2023-09-12,,Blue Dart,In Transit
322,2024-06-08,2024-06-14,XpressBees,Delivered
323,2024-01-17,2024-01-24,Delhivery,Delivered
324,2025-04-13,2025-04-18,Ecom Express,Delivered
325,2024-11-08,2024-11-12,Ekart,Delivered
326,2024-07-09,2024-07-12,XpressBees,Delivered
327,2024-05-21,,Delhivery,In Transit
328,2023-03-28,2023-04-04,Delhivery,Delivered
329,2023-12-03,2023-12-08,DTDC,Delivered
330,2023-07-11,,Ecom Express,In Transit
331,2024-03-26,2024-03-29,DTDC,Delivered
332,,,XpressBees,Pending
333,2024-10-25,2024-10-28,Delhivery,Delivered
334,,,Delhivery,Pending
335,2023-03-01,2023-03-05,Ecom Express,Delivered
336,,,Blue Dart,Pending
337,2024-02-18,2024-02-22,XpressBees,Delivered
338,2023-04-02,,Ecom Express,In Transit
339,2025-06-19,,XpressBees,In Transit
340,2023-02-18,2023-02-21,Delhivery,Delivered
341,2024-04-08,2024-04-11,Blue Dart,Delivered
342,2023-01-03,2023-01-10,DTDC,Delivered
343,2025-03-20,,Ecom Express,In Transit
344,2024-04-26,2024-04-28,Delhivery,Delivered
345,2024-09-05,2024-09-09,Delhivery,Delivered
346,,,XpressBees,Pending
347,2023-10-24,2023-10-31,Ecom Express,Delivered
348,2023-12-22,2023-12-27,XpressBees,Delivered
349,2023-11-17,2023-11-21,Ekart,Delivered
350,2025-02-06,,Ecom Express,In Transit
351,2024-10-16,2024-10-19,Blue Dart,Delivered
352,2023-01-24,2023-01-26,Ekart,Delivered
353,2024-01-31,2024-02-03,Ecom Express,Delivered
354,2025-02-06,,Ecom Express,In Transit
355,2024-03-01,2024-03-06,Delhivery,Delivered
356,2023-01-10,,Ecom Express,In Transit
357,2025-04-20,,DTDC,In Transit
358,2024-02-19,2024-02-25,XpressBees,Delivered
359,2023-08-06,2023-08-08,Delhivery,Delivered
360,2023-08-31,2023-09-04,XpressBees,Delivered
361,2023-06-09,,Delhivery,In Transit
362,2023-08-25,2023-08-30,DTDC,Delivered
363,2025-04-24,2025-04-26,Ecom Express,Delivered
364,2024-02-21,,DTDC,In Transit
365,2023-09-12,2023-09-14,DTDC,Delivered
366,,,Delhivery,Pending
367,2024-02-14,2024-02-16,Delhivery,Delivered
368,2023-06-27,2023-07-04,Blue Dart,Delivered
369,2025-02-22,2025-02-24,Blue Dart,Delivered
370,2023-03-07,2023-03-11,Ekart,Delivered
371,2023-01-10,2023-01-16,Blue Dart,Delivered
372,2025-06-07,2025-06-13,Blue Dart,Delivered
373,2024-06-19,2024-06-23,Delhivery,Delivered
374,2023-11-29,2023-12-02,XpressBees,Delivered
375,2024-01-03,,Ecom Express,In Transit
376,2024-06-25,2024-06-27,XpressBees,Delivered
377,2023-12-30,,Blue Dart,In Transit
378,2025-05-25,2025-05-27,DTDC,Delivered
379,2023-06-03,2023-06-06,Ekart,Delivered
380,,,DTDC,Pending
381,2023-11-28,,DTDC,In Transit
382,2024-05-02,2024-05-09,XpressBees,Delivered
383,2025-04-19,2025-04-21,Ekart,Delivered
384,2024-10-22,,Delhivery,In Transit
385,2025-01-26,2025-02-02,Delhivery,Delivered
386,2025-03-12,,XpressBees,In Transit
387,2024-04-23,2024-04-25,Blue Dart,Delivered
388,2023-07-18,2023-07-23,Ecom Express,Delivered
389,,,Delhivery,Pending
390,2023-05-06,2023-05-09,Delhivery,Delivered
391,2023-06-25,2023-06-30,Ekart,Delivered
392,2025-04-07,,DTDC,In Transit
393,2023-09-09,2023-09-11,Ekart,Delivered
394,2024-06-21,,Ecom Express,In Transit
395,2023-07-22,,Blue Dart,In Transit
396,2025-06-17,2025-06-19,Ekart,Delivered
397,2024-09-15,2024-09-20,Blue Dart,Delivered
398,2024-09-19,,Delhivery,In Transit
399,2023-06-15,2023-06-17,XpressBees,Delivered
400,2024-08-27,2024-09-03,XpressBees,Delivered
401,2024-06-01,,Ecom Express,In Transit
402,2023-02-01,2023-02-06,XpressBees,Delivered
403,2025-02-02,2025-02-04,Blue Dart,Delivered
404,,,DTDC,Pending
405,,,Ekart,Pending
406,2024-03-13,2024-03-19,Ecom Express,Delivered
407,2024-01-31,2024-02-02,XpressBees,Delivered
408,2025-03-31,2025-04-04,Blue Dart,Delivered
409,2023-08-15,2023-08-19,Blue Dart,Delivered
410,2025-05-18,2025-05-25,XpressBees,Delivered
411,2023-03-20,,Ecom Express,In Transit
412,2025-03-10,2025-03-12,Blue Dart,Delivered
413,2023-05-09,2023-05-13,Ecom Express,Delivered
414,2023-11-27,,Ekart,In Transit
415,2023-01-24,2023-01-27,DTDC,Delivered
416,2023-08-02,2023-08-05,Blue Dart,Delivered
417,2023-05-12,,Ecom Express,In Transit
418,2023-04-13,2023-04-17,XpressBees,Delivered
419,2023-03-31,2023-04-03,Ekart,Delivered
420,2025-05-20,2025-05-23,Ekart,Delivered
421,2024-06-10,2024-06-15,Delhivery,Delivered
422,2023-09-05,2023-09-12,XpressBees,Delivered
423,2023-05-30,2023-06-03,XpressBees,Delivered
424,2025-01-19,,Delhivery,In Transit
425,2024-06-30,2024-07-07,Ecom Express,Delivered
426,2023-06-20,2023-06-23,XpressBees,Delivered
427,2025-03-01,2025-03-06,DTDC,Delivered
428,2023-10-26,2023-10-31,Blue Dart,Delivered
429,2025-03-25,2025-03-28,Ekart,Delivered
430,2024-08-11,2024-08-15,Ekart,Delivered
431,2025-01-18,,DTDC,In Transit
432,2025-04-13,2025-04-19,Ecom Express,Delivered
433,2025-04-19,,DTDC,In Transit
434,2025-06-05,2025-06-10,Blue Dart,Delivered
435,2023-08-15,2023-08-17,Blue Dart,Delivered
436,2025-02-27,2025-03-01,XpressBees,Delivered
437,2025-04-29,,Blue Dart,In Transit
438,2024-04-21,2024-04-23,XpressBees,Delivered
439,2024-07-05,,DTDC,In Transit
440,2024-09-04,2024-09-10,XpressBees,Delivered
441,2023-04-19,2023-04-25,Ekart,Delivered
442,2023-12-26,2023-12-29,Ekart,Delivered
443,2024-09-14,2024-09-17,Blue Dart,Delivered
444,2025-04-16,2025-04-19,Ecom Express,Delivered
445,2024-07-03,2024-07-06,Delhivery,Delivered
446,2024-10-30,,Ekart,In Transit
447,2023-09-26,2023-09-30,Ekart,Delivered
448,2025-05-15,,Delhivery,In Transit
449,2023-12-28,,Delhivery,In Transit
450,,,Blue Dart,Pending
451,2025-02-26,,Delhivery,In Transit
452,2023-01-15,,XpressBees,In Transit
453,2024-06-11,2024-06-14,Ekart,Delivered
454,2024-08-24,2024-08-30,Ekart,Delivered
455,2024-09-27,2024-10-01,Delhivery,Delivered
456,2023-05-27,,DTDC,In Transit
457,2025-02-19,2025-02-26,Delhivery,Delivered
458,2024-04-06,2024-04-09,Ecom Express,Delivered
459,2024-05-07,2024-05-10,Delhivery,Delivered
460,2024-05-18,2024-05-20,Delhivery,Delivered
461,2025-02-27,2025-03-06,Ekart,Delivered
462,2023-07-18,2023-07-23,Ekart,Delivered
463,2023-02-24,2023-03-02,Blue Dart,Delivered
464,2024-11-27,2024-11-30,Ekart,Delivered
465,,,Blue Dart,Pending
466,2023-02-04,2023-02-10,Delhivery,Delivered
467,2023-01-04,2023-01-06,Ecom Express,Delivered
468,2023-08-24,2023-08-26,Ekart,Delivered
469,2023-12-28,2023-12-31,Ecom Express,Delivered
470,2024-03-11,2024-03-13,Blue Dart,Delivered
471,2023-12-21,,Ecom Express,In Transit
472,2023-02-05,2023-02-09,Delhivery,Delivered
473,2024-01-21,,DTDC,In Transit
474,2023-03-07,2023-03-11,DTDC,Delivered
475,2024-09-01,2024-09-04,Blue Dart,Delivered
476,2023-03-16,2023-03-20,DTDC,Delivered
477,2023-08-06,2023-08-13,Ecom Express,Delivered
478,2025-06-18,2025-06-25,DTDC,Delivered
479,2023-03-25,2023-03-28,DTDC,Delivered
480,2023-01-24,2023-01-26,XpressBees,Delivered
481,,,Ekart,Pending
482,2023-10-28,2023-11-01,Delhivery,Delivered
483,2024-10-08,2024-10-14,Delhivery,Delivered
484,2023-05-05,2023-05-08,Delhivery,Delivered
485,2023-07-14,2023-07-18,Blue Dart,Delivered
486,2024-08-12,2024-08-15,Ekart,Delivered
487,2023-03-20,,Ekart,In Transit
488,2024-02-24,,Delhivery,In Transit
489,2025-05-08,2025-05-15,DTDC,Delivered
490,2023-01-17,2023-01-19,Ecom Express,Delivered
491,2023-12-31,2024-01-03,Delhivery,Delivered
492,2023-12-02,2023-12-08,DTDC,Delivered
493,2023-11-21,2023-11-26,Delhivery,Delivered
494,2023-10-28,2023-11-01,Ecom Express,Delivered
495,2023-05-06,,Ekart,In Transit
496,2023-07-29,2023-08-03,Blue Dart,Delivered
497,2023-06-11,2023-06-16,Delhivery,Delivered
498,2023-03-05,2023-03-07,Ecom Express,Delivered
499,,,Delhivery,Pending
500,2023-06-06,2023-06-08,Ekart,Delivered
501,2024-08-21,2024-08-26,Blue Dart,Delivered
502,2023-07-17,2023-07-23,Ecom Express,Delivered
503,2024-02-19,2024-02-23,DTDC,Delivered
504,2024-04-23,2024-04-30,DTDC,Delivered
505,2024-08-22,,DTDC,In Transit
506,2023-07-03,,Ekart,In Transit
507,2023-05-06,2023-05-13,Blue Dart,Delivered
508,2025-06-13,,Delhivery,In Transit
509,,,XpressBees,Pending
510,2023-10-02,2023-10-08,Ecom Express,Delivered
511,2024-09-06,,Ekart,In Transit
512,2024-07-26,2024-07-30,Ecom Express,Delivered
513,2024-10-21,2024-10-26,DTDC,Delivered
514,2024-07-31,2024-08-07,Blue Dart,Delivered
515,2023-02-16,,Ecom Express,In Transit
516,2023-06-20,2023-06-25,XpressBees,Delivered
517,2023-11-02,2023-11-08,Ekart,Delivered
518,2023-09-20,,Blue Dart,In Transit
519,2024-07-05,2024-07-07,Blue Dart,Delivered
520,2023-09-20,2023-09-26,Ecom Express,Delivered
521,2025-03-01,2025-03-05,DTDC,Delivered
522,2024-03-18,2024-03-20,Delhivery,Delivered
523,2023-05-17,2023-05-20,Delhivery,Delivered
524,2023-07-31,2023-08-05,Ecom Express,Delivered
525,2023-12-13,2023-12-19,Blue Dart,Delivered
526,2024-03-14,2024-03-16,DTDC,Delivered
527,,,Delhivery,Pending
528,2023-03-28,2023-03-30,DTDC,Delivered
529,2023-05-12,,Ekart,In Transit
530,2024-03-30,2024-04-03,Ecom Express,Delivered
531,2025-05-29,,DTDC,In Transit
532,2024-12-25,2024-12-28,XpressBees,Delivered
533,2023-02-25,2023-02-28,Blue Dart,Delivered
534,2023-10-17,2023-10-24,Delhivery,Delivered
535,2023-07-18,,Blue Dart,In Transit
536,2025-01-19,2025-01-24,Ecom Express,Delivered
537,2023-04-04,2023-04-06,Ecom Express,Delivered
538,2023-07-18,2023-07-23,XpressBees,Delivered
539,2024-01-11,2024-01-15,Delhivery,Delivered
540,2024-01-08,2024-01-12,Delhivery,Delivered
541,2023-06-10,2023-06-17,DTDC,Delivered
542,,,Delhivery,Pending
543,2023-12-03,,DTDC,In Transit
544,2024-10-10,2024-10-15,Delhivery,Delivered
545,2024-06-25,2024-07-02,XpressBees,Delivered
546,2025-02-27,2025-03-06,XpressBees,Delivered
547,2023-09-20,,DTDC,In Transit
548,2024-05-20,2024-05-23,DTDC,Delivered
549,2024-01-23,,Ecom Express,In Transit
550,2024-06-07,2024-06-13,Delhivery,Delivered
551,2025-03-12,2025-03-19,Ecom Express,Delivered
552,2025-03-01,2025-03-04,Ecom Express,Delivered
553,2025-04-06,2025-04-08,Blue Dart,Delivered
554,2024-07-28,2024-08-01,Delhivery,Delivered
555,2023-05-29,,DTDC,In Transit
556,2024-07-28,2024-08-02,Ecom Express,Delivered
557,2023-08-03,,Blue Dart,In Transit
558,2025-03-16,2025-03-23,Ecom Express,Delivered
559,2023-07-27,2023-07-30,XpressBees,Delivered
560,,,XpressBees,Pending
561,2025-06-13,2025-06-15,Ecom Express,Delivered
562,2025-03-29,2025-04-03,XpressBees,Delivered
563,2023-03-29,2023-03-31,Blue Dart,Delivered
564,2023-06-19,2023-06-22,Ecom Express,Delivered
565,2024-02-12,2024-02-14,XpressBees,Delivered
